"TCGA-A3-3320-01A-02R-1325-07"	"TCGA-A3-3323-01A-02R-1325-07"	"TCGA-A3-3326-01A-01R-0864-07"	"TCGA-A3-A6NJ-01A-12R-A33J-07"	"TCGA-A3-A8OU-01A-11R-A37O-07"	"TCGA-AS-3778-01A-01R-A32Z-07"	"TCGA-B0-5690-01A-11R-1541-07"	"TCGA-B4-5834-01A-11R-1672-07"	"TCGA-B4-5844-01A-11R-1672-07"	"TCGA-B8-A54K-01A-11R-A33J-07"	"TCGA-BP-4165-01A-02R-1289-07"	"TCGA-CW-6093-01A-11R-1672-07"	"TCGA-EU-5904-01A-11R-1672-07"	"TCGA-T7-A92I-01A-11R-A37O-07"
"ACAA2|10449"	11155.2685	4867.9518	7240.6221	6205.2821	5911.4181	5864.3589	4970.9794	6467.0232	7243.6186	3015.1159	9163.9481	5996.463	7794.1071	11243.793
"ACACA|31"	640.184	640.9639	549.8628	547.8191	635.9204	463.4405	614.2684	539.0994	652.6836	482.3648	333.9901	841.4791	557.6716	1255.7583
"ACACB|32"	1463.6822	1344.0964	868.2525	826.7307	847.6229	937.1247	798.4684	1072.6188	749.9639	1467.2489	709.0405	832.7974	717.9303	1932.0969
"ACAD10|80724"	622.4896	653.012	759.3779	708.6835	1261.6822	809.9611	646.1104	458.808	1669.603	687.493	736.5809	493.8907	520.6612	2286.8681
"ACAD11|84129"	10366.0869	7296.3711	4419.9451	7429.3477	5679.7846	7123.2215	5382.8859	5433.7751	13312.6971	852.666	8116.4008	5334.0836	7103.4639	1784.2866
"ACAD8|27034"	415.111	488.6747	494.0531	390.5562	529.4596	586.7185	361.1447	261.0246	407.9744	532.5272	505.2414	360.1286	384.4772	930.003
"ACAD9|28976"	967.5201	993.253	1073.193	951.9608	1234.8395	1106.012	861.9669	971.8639	843.8508	921.6975	1034.1226	800.6399	896.8631	957.8103
"ACADL|33"	1720.6051	518.0723	1113.4492	975.1901	666.3958	1175.9096	615.4776	510.5789	1048.2151	373.9783	1295.401	602.2508	934.6029	302.1238
"ACADM|34"	3459.2586	1598.0723	1588.2891	1445.7783	1472.5721	1818.7919	1273.2769	2001.705	1554.2239	960.6987	772.6338	1981.3505	2620.194	1014.6575
"ACADSB|36"	1780.4123	1661.6867	1162.8545	871.5486	1173.1004	1103.1438	679.1616	1121.5996	1357.0237	1514.2761	733.0758	1477.8135	1176.7876	1469.638
"ACADS|35"	1254.1803	910.3614	1189.387	1298.9196	1812.6778	1196.0438	1011.2858	826.4745	846.4902	926.6599	1667.447	572.0257	963.7082	1026.3237
"ACADVL|37"	12698.1722	9418.294	8633.9982	7305.6943	11707.3304	9041.307	6625.9089	5073.1892	6565.2537	10625.865	15209.8004	4605.1254	7142.2853	6712.3362
"ACAN|176"	521.6314	1282.8916	163.7694	6.0024	72.3283	2332.0381	1393.3898	504.0688	1655.2749	1139.85	911.8381	178.7781	470.3557	30.5115
"ACAP1|9744"	110.4132	259.2771	385.1784	387.3549	205.2011	140.9396	128.1741	64.4811	40.722	49.7145	226.8329	50.1608	123.2483	99.6111
"ACAP2|23527"	1764.4873	1432.2892	1066.7887	1056.8227	819.1792	991.5224	1652.5595	1612.9582	1528.2071	892.1733	661.9714	1723.1511	1613.3669	1119.9521
"ACAP3|116983"	560.1592	551.8072	642.5618	445.026	1251.926	993.4122	495.9371	323.6457	379.6952	290.7401	850.2477	274.6367	427.2368	466.563
"ACAT1|38"	3915.4207	1739.759	3215.0046	3028.8115	3980.0894	2693.0413	2378.0734	1933.5038	4918.3156	950.3975	3300.844	2307.074	3026.2307	3755.9079
